,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5433497,5044547,HM556221,22/08/2006 19:25,020XX E 73RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,333,3,5,43,18,1191258,1856971,2006,15/04/2016 08:55,41.76253337,-87.57456726,"(41.762533, -87.574567)"
5854143,8951898,HW101275,01/01/2013 22:10,081XX S DREXEL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,631,6,8,44,18,1183647,1851316,2013,04/02/2016 06:33,41.74719631,-87.60263839,"(41.747196, -87.602638)"
1893770,6872689,HR270027,15/04/2009 20:30,097XX S LUELLA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,431,4,7,51,18,1192970,1840463,2009,04/02/2016 06:33,41.71719235,-87.56883013,"(41.717192, -87.56883)"
3973089,8442255,HV120615,16/01/2012 21:35,058XX S PRAIRIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,233,2,20,40,18,1179036,1866453,2012,04/02/2016 06:33,41.78884005,-87.61907362,"(41.78884, -87.619074)"
4359650,9487057,HX140692,05/02/2014 22:00,062XX S OAKLEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,825,8,15,66,18,1162130,1863314,2014,04/02/2016 06:33,41.7805949,-87.68114938,"(41.780595, -87.681149)"
1580345,6167387,HP249478,28/03/2008 23:10,068XX S PEORIA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,723,7,17,68,18,1171489,1859417,2008,04/02/2016 06:33,41.76970116,-87.64695164,"(41.769701, -87.646952)"
6147178,2156390,HH395403,25/05/2002 10:29,005XX W 59TH ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE,FALSE,711,7,20,68,18,1173805,1865791,2002,15/04/2016 08:55,41.7871411,-87.63827339,"(41.787141, -87.638273)"
5732886,5774459,HN578834,09/09/2007 11:01,023XX S SAWYER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1024,10,24,30,18,1155061,1888318,2007,15/04/2016 08:55,41.8493534,-87.70639703,"(41.849353, -87.706397)"
1077858,10296110,HY484136,31/10/2015 19:50,085XX S JUSTINE ST,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,614,6,21,71,18,1167496,1847999,2015,07/11/2015 15:56,41.73845512,-87.66191485,"(41.738455, -87.661915)"
6069691,9949802,HY138654,03/02/2015 18:09,024XX S CHRISTIANA AVE,2026,NARCOTICS,POSS: PCP,APARTMENT,TRUE,FALSE,1024,10,22,30,18,1154415,1887682,2015,17/08/2015 15:03,41.84762106,-87.70878491,"(41.847621, -87.708785)"
3340554,4728836,HM241020,19/03/2006 11:54,066XX S LAFLIN ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE,FALSE,725,7,17,67,18,1167477,1860803,2006,15/04/2016 08:55,41.77359145,-87.66161818,"(41.773591, -87.661618)"
4373217,6184988,HP259196,03/04/2008 13:40,033XX W FILLMORE ST,2031,NARCOTICS,POSS: METHAMPHETAMINES,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,1134,11,24,29,18,,,2008,17/08/2015 15:03,,,
3234285,4638514,HM152153,29/01/2006 18:30,002XX N KEELER AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1114,11,28,26,18,1148362,1900762,2006,15/04/2016 08:55,41.8836328,-87.73066274,"(41.883633, -87.730663)"
6205233,2249538,HH513707,16/07/2002 10:30,023XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,TRUE,FALSE,134,1,3,33,18,1176681,1888910,2002,15/04/2016 08:55,41.85051735,-87.62703166,"(41.850517, -87.627032)"
2959135,1455777,G175102,27/03/2001 22:30,080XX S EXCHANGE AV,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,422,4,,,18,1197267,1852154,2001,17/08/2015 15:03,41.74916762,-87.55270404,"(41.749168, -87.552704)"
2731529,7942998,HT175421,23/02/2011 13:50,035XX W BERTEAU AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1723,17,33,16,18,1151816,1927683,2011,04/02/2016 06:33,41.95743913,-87.71726909,"(41.957439, -87.717269)"
4927631,3685026,HK749306,13/11/2004 21:04,016XX N LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2533,25,37,25,18,1141477,1910575,2004,15/04/2016 08:55,41.91069073,-87.75570274,"(41.910691, -87.755703)"
3953707,8435027,HV113193,10/01/2012 23:34,063XX N MAPLEWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2413,24,50,2,18,1158170,1942050,2012,04/02/2016 06:33,41.99673514,-87.69351519,"(41.996735, -87.693515)"
5037574,3857481,HL195654,22/02/2005 13:54,032XX W MAYPOLE AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1123,11,28,27,18,1154662,1900797,2005,15/04/2016 08:55,41.88360511,-87.70752754,"(41.883605, -87.707528)"
5727680,5764047,HN567974,03/09/2007 22:50,093XX S HARPER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,413,4,8,48,18,1188080,1843311,2007,15/04/2016 08:55,41.72512533,-87.58664936,"(41.725125, -87.586649)"
2773457,7968847,HT201489,13/03/2011 16:20,063XX S WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,825,8,15,66,18,1161462,1862516,2011,04/02/2016 06:33,41.77841896,-87.68362051,"(41.778419, -87.683621)"
1247065,1612554,G364570,22/06/2001 20:30,077XX S GREENWOOD AV,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,TRUE,FALSE,624,6,,,18,1184847,1854139,2001,17/08/2015 15:03,41.75491486,-87.59815292,"(41.754915, -87.598153)"
1564993,10029600,HY219648,12/04/2015 20:15,048XX W FULTON ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,TRUE,FALSE,1532,15,28,25,18,1144218,1901500,2015,17/08/2015 15:03,41.88573681,-87.74586147,"(41.885737, -87.745861)"
1942137,6815931,HR225240,20/03/2009 01:18,027XX W PERSHING RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,913,9,12,58,18,1158845,1878678,2009,04/02/2016 06:33,41.82282348,-87.69277309,"(41.822823, -87.692773)"
4832566,3540008,HK608047,07/09/2004 11:32,023XX S STATE ST,2027,NARCOTICS,POSS: CRACK,CHA APARTMENT,TRUE,FALSE,134,1,3,33,18,1176681,1888910,2004,15/04/2016 08:55,41.85051735,-87.62703166,"(41.850517, -87.627032)"
1545995,2619684,HJ176329,10/02/2003 19:30,071XX S YALE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,731,7,6,69,18,1175860,1857623,2003,15/04/2016 08:55,41.76468138,-87.63098325,"(41.764681, -87.630983)"
4454248,9730713,HX380455,09/08/2014 12:08,079XX S EXCHANGE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,422,4,7,46,18,1197212,1852819,2014,04/02/2016 06:33,41.7509938,-87.55288348,"(41.750994, -87.552883)"
1328720,1674761,G453990,01/08/2001 18:25,012XX N PARKSIDE AV,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE,FALSE,2531,25,,,18,1138414,1907547,2001,17/08/2015 15:03,41.90243759,-87.76702869,"(41.902438, -87.767029)"
1030816,3076868,HJ753385,11/11/2003 19:45,026XX W 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,825,8,15,66,18,1159957,1862782,2003,15/04/2016 08:55,41.77917997,-87.68913065,"(41.77918, -87.689131)"
2432990,7624870,HS429280,25/07/2010 19:00,012XX N LAVERGNE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2533,25,37,25,18,1142803,1907945,2010,04/02/2016 06:33,41.90344911,-87.75089704,"(41.903449, -87.750897)"
2314274,7497502,HS301151,10/05/2010 20:00,019XX E 79TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,414,4,8,43,18,1190407,1852973,2010,04/02/2016 06:33,41.75158307,-87.57781494,"(41.751583, -87.577815)"
4209930,9272340,HW388094,01/08/2013 08:52,050XX W SUPERIOR ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,TRUE,FALSE,1531,15,28,25,18,1142660,1904503,2013,04/02/2016 06:33,41.89400653,-87.75150806,"(41.894007, -87.751508)"
3103092,4525510,HL772065,04/12/2005 20:54,055XX S HOYNE AVE,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,715,7,15,67,18,1163309,1867782,2005,15/04/2016 08:55,41.79283106,-87.67670184,"(41.792831, -87.676702)"
3462741,4838710,HM336851,08/05/2006 00:15,099XX S SANGAMON ST,2027,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,2232,22,34,73,18,1171732,1839013,2006,15/04/2016 08:55,41.71370452,-87.64665771,"(41.713705, -87.646658)"
4579843,3253103,HK247907,18/03/2004 16:48,007XX N CHRISTIANA AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1121,11,27,23,18,1153911,1904694,2004,15/04/2016 08:55,41.89431386,-87.71018137,"(41.894314, -87.710181)"
2729065,7941359,HT174624,22/02/2011 20:59,049XX S PRINCETON AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE,FALSE,935,9,3,37,18,1175122,1872185,2011,04/02/2016 06:33,41.80465757,-87.63325363,"(41.804658, -87.633254)"
1203017,1543263,G287467,18/05/2001 19:35,033XX S MORGAN ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,924,9,,,18,1170219,1883109,2001,17/08/2015 15:03,41.8347423,-87.6509174,"(41.834742, -87.650917)"
2469504,7664999,HS469769,18/08/2010 21:50,038XX W CHICAGO AVE,2022,NARCOTICS,POSS: COCAINE,VACANT LOT/LAND,TRUE,FALSE,1112,11,27,23,18,1150751,1905070,2010,04/02/2016 06:33,41.89540803,-87.72177732,"(41.895408, -87.721777)"
145236,10605514,HZ357385,20/07/2016 19:43,079XX S LAKE SHORE DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,422,4,7,46,18,1198769,1853095,2016,27/07/2016 15:52,41.75171226,-87.54716875,"(41.751712, -87.547169)"
5675287,5904419,HN702261,12/11/2007 00:00,014XX W HURON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1324,12,27,24,18,1166705,1904791,2007,15/04/2016 08:55,41.89431544,-87.66319019,"(41.894315, -87.66319)"
653407,2670148,HJ256400,23/03/2003 22:10,079XX S SAGINAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,422,4,7,46,18,1195225,1852886,2003,15/04/2016 08:55,41.75122688,-87.56016246,"(41.751227, -87.560162)"
4618077,3307945,HK305991,16/04/2004 20:10,036XX S FEDERAL ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,TRUE,FALSE,211,2,3,35,18,1176227,1880781,2004,15/04/2016 08:55,41.82822098,-87.62894258,"(41.828221, -87.628943)"
3984318,8446717,HV124393,19/01/2012 17:05,062XX S WOOD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,714,7,15,67,18,1165418,1863368,2012,04/02/2016 06:33,41.78067402,-87.66909341,"(41.780674, -87.669093)"
6067533,9945973,HY134007,30/01/2015 11:53,078XX S HERMITAGE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,611,6,17,71,18,1166043,1852676,2015,17/08/2015 15:03,41.75132046,-87.66710566,"(41.75132, -87.667106)"
2213504,7254484,HR669002,01/12/2009 13:15,005XX N LOCKWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1523,15,28,25,18,1140947,1902786,2009,04/02/2016 06:33,41.88932658,-87.75784174,"(41.889327, -87.757842)"
4163240,8515064,HV192157,10/03/2012 23:10,033XX W NORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1422,14,26,23,18,1154022,1910440,2012,04/02/2016 06:33,41.9100792,-87.70962026,"(41.910079, -87.70962)"
5346716,5104451,HM684123,26/10/2006 20:22,066XX S HALSTED ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,723,7,16,68,18,1172107,1861014,2006,15/04/2016 08:55,41.77406997,-87.64463945,"(41.77407, -87.644639)"
474544,2077097,HH294436,08/04/2002 21:17,034XX W MONROE ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1123,11,,,18,1153545,1899323,2002,15/04/2016 08:55,41.87958258,-87.71166849,"(41.879583, -87.711668)"
2461334,7652740,HS457626,11/08/2010 18:45,002XX N KOLIN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1114,11,28,26,18,1147358,1900793,2010,04/02/2016 06:33,41.88373716,-87.73434875,"(41.883737, -87.734349)"
1570512,10032498,HY222362,14/04/2015 22:09,053XX W OHIO ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1524,15,37,25,18,1140766,1903457,2015,17/08/2015 15:03,41.89117121,-87.75848995,"(41.891171, -87.75849)"
3130642,8079672,HT312836,24/05/2011 19:30,055XX W CORCORAN PL,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1523,15,28,25,18,1139182,1902010,2011,04/02/2016 06:33,41.88722944,-87.76434253,"(41.887229, -87.764343)"
5549024,5315825,HM729721,19/11/2006 17:25,035XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,922,9,11,60,18,1171544,1881570,2006,15/04/2016 08:55,41.83049015,-87.64610081,"(41.83049, -87.646101)"
1392939,1793366,G577597,26/09/2001 13:01,051XX S WINCHESTER AV,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE,FALSE,915,9,,,18,1164179,1870718,2001,17/08/2015 15:03,41.80086952,-87.673429,"(41.80087, -87.673429)"
5502516,5483150,HN305157,25/04/2007 19:00,022XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA HALLWAY/STAIRWELL/ELEVATOR,TRUE,FALSE,134,1,3,33,18,1176667,1889435,2007,15/04/2016 08:55,41.85195831,-87.6270672,"(41.851958, -87.627067)"
904240,2973725,HJ600575,01/09/2003 10:25,053XX W HURON ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1524,15,37,25,18,1140813,1904116,2003,15/04/2016 08:55,41.89297873,-87.75830112,"(41.892979, -87.758301)"
5464058,5374071,HM770738,12/12/2006 21:04,039XX W MADISON ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1122,11,28,26,18,1150055,1899721,2006,15/04/2016 08:55,41.88074339,-87.72447297,"(41.880743, -87.724473)"
1606486,6210928,HP297802,24/04/2008 09:40,103XX S ELIZABETH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2232,22,21,73,18,1169846,1836216,2008,04/02/2016 06:33,41.70607019,-87.6536458,"(41.70607, -87.653646)"
1144480,1389493,G091009,13/02/2001 21:10,026XX W 37 PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,913,9,,,18,1159510,1879740,2001,17/08/2015 15:03,41.82572411,-87.6903043,"(41.825724, -87.690304)"
5114999,4020761,HL301765,17/04/2005 22:00,074XX N GREENVIEW AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,TRUE,FALSE,2422,24,49,1,18,1164996,1949675,2005,15/04/2016 08:55,42.01751559,-87.66818734,"(42.017516, -87.668187)"
1657430,6309723,HP399356,16/06/2008 21:15,074XX S UNION AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,732,7,17,68,18,1172917,1855661,2008,04/02/2016 06:33,41.75936285,-87.64182792,"(41.759363, -87.641828)"
4929815,3688098,HK769565,23/11/2004 20:01,008XX E 79TH ST,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,624,6,8,44,18,1183379,1852811,2004,15/04/2016 08:55,41.75130499,-87.60357394,"(41.751305, -87.603574)"
5689059,5936226,HN734980,30/11/2007 13:35,038XX W MONROE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1122,11,28,26,18,1150837,1899387,2007,15/04/2016 08:55,41.8798116,-87.72161025,"(41.879812, -87.72161)"
5996479,9821975,HX471427,17/10/2014 15:26,046XX S COTTAGE GROVE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,221,2,4,38,18,1182375,1874350,2014,04/02/2016 06:33,41.8104333,-87.60658599,"(41.810433, -87.606586)"
2009965,6960640,HR339865,25/05/2009 11:21,084XX S ADA ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,613,6,21,71,18,1168798,1848861,2009,04/02/2016 06:33,41.74079259,-87.65711979,"(41.740793, -87.65712)"
3350930,6378998,HP465473,21/07/2008 11:00,020XX W 65TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE,FALSE,726,7,15,67,18,1163681,1861536,2008,04/02/2016 06:33,41.77568341,-87.67551298,"(41.775683, -87.675513)"
1513737,6036091,HP127035,16/01/2008 12:23,020XX E 78TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE,FALSE,414,4,8,43,18,1190985,1853651,2008,04/02/2016 06:33,41.75342961,-87.575675,"(41.75343, -87.575675)"
2782837,7972793,HT176842,24/02/2011 12:48,008XX W 53RD ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE,FALSE,934,9,3,61,18,1171589,1869668,2011,04/02/2016 06:33,41.79782889,-87.64628484,"(41.797829, -87.646285)"
